GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,FuncionController,136,205,12,10,31,57,19,6,9,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,UsuarioController,157,6,6,0,36,3,13,1,10,1
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,SalaController,76,69,1,1,16,21,7,5,6,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,AsientoController,94,81,2,0,17,27,7,5,6,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,GlobalExceptionHandler,13,41,4,4,2,6,5,4,1,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,AuthController,163,105,9,1,37,25,8,3,3,3
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,TicketController,62,132,3,3,12,37,9,5,7,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.controller,PeliculaController,78,120,1,1,17,38,5,6,4,6
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,TicketUseCaseImpl,18,110,9,11,1,27,8,11,1,8
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,UsuarioUseCaseImpl,21,51,0,2,6,11,3,6,3,5
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,FuncionUseCaseImpl,1,86,2,4,0,23,2,9,0,8
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,PeliculaUseCaseImpl,0,53,0,2,0,16,0,8,0,7
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,SalaUseCaseImpl,24,104,2,6,4,25,4,9,2,7
ProyectLP2,pe.edu.upeu.ProyectLP2.app.usecase,AsientoUseCaseImpl,0,65,0,0,0,14,0,9,0,9
ProyectLP2,pe.edu.upeu.ProyectLP2.infrastructure.security,JwtService,55,53,4,0,12,12,8,5,6,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infrastructure.security,JwtAuthenticationFilter,52,20,9,1,11,8,5,2,0,2
ProyectLP2,pe.edu.upeu.ProyectLP2,ProyectLp2Application,5,3,0,0,2,1,1,1,1,1
ProyectLP2,pe.edu.upeu.ProyectLP2.infrastructure.config,ApplicationConfig,6,58,0,0,1,18,1,7,1,7
ProyectLP2,pe.edu.upeu.ProyectLP2.infrastructure.config,SecurityConfig,0,139,0,0,0,24,0,5,0,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.config,CorsConfig,0,49,0,0,0,8,0,2,0,2
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,PeliculaMapperImpl,6,126,3,5,3,33,3,5,0,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,FuncionMapperImpl,6,98,3,5,3,23,3,5,0,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,TicketMapperImpl,6,112,3,5,3,25,3,5,0,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,UsuarioMapperImpl,33,59,6,2,9,17,5,3,1,3
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,SalaMapperImpl,6,78,3,5,3,21,3,5,0,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter.mapper,AsientoMapperImpl,6,92,3,5,3,23,3,5,0,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,SalaPersistenceAdapter,38,51,0,0,7,13,2,5,2,5
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,PeliculaPersistenceAdapter,58,57,0,0,12,13,2,6,2,6
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,AsientoPersistenceAdapter,11,111,0,2,2,24,2,7,2,6
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,UsuarioPersistenceAdapter,72,33,0,0,15,6,5,3,5,3
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,TicketPersistenceAdapter,104,75,0,0,14,18,9,4,9,4
ProyectLP2,pe.edu.upeu.ProyectLP2.infraestructure.adapter,FuncionPersistenceAdapter,83,84,0,0,14,18,7,5,7,5
